epseason,epnum,epname,dynamics
1,1,The One Where Monica Gets a Roommate,3
1,1,The One Where Monica Gets a Roommate,5
1,1,The One Where Monica Gets a Roommate,56
1,1,The One Where Monica Gets a Roommate,126
1,2,The One with the Sonogram at the End,3
1,2,The One with the Sonogram at the End,6
1,2,The One with the Sonogram at the End,56
1,3,The One with the Thumb,1
1,3,The One with the Thumb,3
1,3,The One with the Thumb,4
1,4,The One with George Stephanopoulos,5
1,4,The One with George Stephanopoulos,126
1,4,The One with George Stephanopoulos,345
1,5,The One with the East German Laundry Detergent,14
1,5,The One with the East German Laundry Detergent,23
1,5,The One with the East German Laundry Detergent,56
1,6,The One with the Butt,1
1,6,The One with the Butt,2
1,6,The One with the Butt,35
1,7,The One with the Blackout,1
1,7,The One with the Blackout,5
1,7,The One with the Blackout,45
1,7,The One with the Blackout,56
1,8,The One Where Nana Dies Twice,1
1,8,The One Where Nana Dies Twice,36
1,9,The One Where Underdog Gets Away,2
1,9,The One Where Underdog Gets Away,6
1,10,The One with the Monkey,1
1,10,The One with the Monkey,2
1,10,The One with the Monkey,3
1,10,The One with the Monkey,4
1,10,The One with the Monkey,5
1,10,The One with the Monkey,6
1,11,The One with Mrs. Bing,16
1,11,The One with Mrs. Bing,26
1,11,The One with Mrs. Bing,34
1,12,The One with the Dozen Lasagnas,3
1,12,The One with the Dozen Lasagnas,45
1,12,The One with the Dozen Lasagnas,6
1,13,The One with the Boobies,2
1,13,The One with the Boobies,4
1,13,The One with the Boobies,1235
1,14,The One with the Candy Hearts,1
1,14,The One with the Candy Hearts,6
1,14,The One with the Candy Hearts,345
1,15,The One with the Stoned Guy,1
1,15,The One with the Stoned Guy,3
1,15,The One with the Stoned Guy,26
1,16,The One with Two Parts: Part 1,1
1,16,The One with Two Parts: Part 1,3
1,16,The One with Two Parts: Part 1,5
1,16,The One with Two Parts: Part 1,6
1,16,The One with Two Parts: Part 1,24
1,17,The One with Two Parts: Part 2,6
1,17,The One with Two Parts: Part 2,24
1,17,The One with Two Parts: Part 2,35
1,18,The One with All the Poker*,5
1,19,The One Where the Monkey Gets Away,56
1,20,The One with the Evil Orthodontist,1
1,20,The One with the Evil Orthodontist,5
1,21,The One with the Fake Monica,2
1,21,The One with the Fake Monica,6
1,21,The One with the Fake Monica,345
1,22,The One with the Ick Factor,3
1,22,The One with the Ick Factor,14
1,22,The One with the Ick Factor,56
1,23,The One with the Birth,2
1,23,The One with the Birth,3
1,23,The One with the Birth,5
1,23,The One with the Birth,46
1,24,The One Where Rachel Finds Out,2
1,24,The One Where Rachel Finds Out,5
1,24,The One Where Rachel Finds Out,16
2,1,The One with Ross's New Girlfriend,5
2,1,The One with Ross's New Girlfriend,12
2,1,The One with Ross's New Girlfriend,56
2,1,The One with Ross's New Girlfriend,1234
2,2,The One with the Breast Milk,2
2,2,The One with the Breast Milk,24
2,2,The One with the Breast Milk,35
2,3,The One Where Heckles Dies,1
2,3,The One Where Heckles Dies,46
2,4,The One with Phoebe's Husband,4
2,4,The One with Phoebe's Husband,26
2,4,The One with Phoebe's Husband,56
2,5,The One with Five Steaks and an Eggplant,1
2,5,The One with Five Steaks and an Eggplant,136
2,5,The One with Five Steaks and an Eggplant,245
2,6,The One with the Baby on the Bus,4
2,6,The One with the Baby on the Bus,12
2,7,The One Where Ross Finds Out,13
2,7,The One Where Ross Finds Out,24
2,7,The One Where Ross Finds Out,56
2,8,The One with the List,3
2,8,The One with the List,126
2,8,The One with the List,56
2,9,The One with Phoebe's Dad,3
2,9,The One with Phoebe's Dad,4
2,9,The One with Phoebe's Dad,12
2,9,The One with Phoebe's Dad,56
2,10,The One with Russ,2
2,10,The One with Russ,3
2,10,The One with Russ,5
2,11,The One with the Lesbian Wedding,3
2,11,The One with the Lesbian Wedding,4
2,11,The One with the Lesbian Wedding,5
2,12,The One After the Superbowl: Part 1,1
2,12,The One After the Superbowl: Part 1,2
2,12,The One After the Superbowl: Part 1,4
2,12,The One After the Superbowl: Part 1,6
2,12,The One After the Superbowl: Part 1,35
2,13,The One After the Superbowl: Part 2,1
2,13,The One After the Superbowl: Part 2,2
2,13,The One After the Superbowl: Part 2,4
2,13,The One After the Superbowl: Part 2,6
2,13,The One After the Superbowl: Part 2,35
2,14,The One with the Prom Video,3
2,14,The One with the Prom Video,12
2,14,The One with the Prom Video,56
2,15,The One Where Ross and Rachel... You Know,12
2,15,The One Where Ross and Rachel... You Know,3
2,15,The One Where Ross and Rachel... You Know,56
2,16,The One Where Joey Moves Out,3
2,16,The One Where Joey Moves Out,12
2,16,The One Where Joey Moves Out,45
2,17,The One Where Eddie Moves In,4
2,17,The One Where Eddie Moves In,12
2,17,The One Where Eddie Moves In,356
2,18,The One Where Dr. Ramoray Dies,2
2,18,The One Where Dr. Ramoray Dies,3
2,18,The One Where Dr. Ramoray Dies,14
2,18,The One Where Dr. Ramoray Dies,56
2,19,The One Where Eddie Won't Go,12
2,19,The One Where Eddie Won't Go,345
2,20,The One Where Old Yeller Dies,4
2,20,The One Where Old Yeller Dies,123
2,20,The One Where Old Yeller Dies,56
2,21,The One with the Bullies,3
2,21,The One with the Bullies,4
2,21,The One with the Bullies,16
2,22,The One with the Two Parties,5
2,22,The One with the Two Parties,56
2,22,The One with the Two Parties,12
2,22,The One with the Two Parties,34
2,23,The One with the Chicken Pox,3
2,23,The One with the Chicken Pox,5
2,23,The One with the Chicken Pox,12
2,23,The One with the Chicken Pox,56
2,24,The One with Barry and Mindy's Wedding,1
2,24,The One with Barry and Mindy's Wedding,2
2,24,The One with Barry and Mindy's Wedding,3
2,24,The One with Barry and Mindy's Wedding,5
3,1,The One with the Princess Leia Fantasy,3
3,1,The One with the Princess Leia Fantasy,12
3,1,The One with the Princess Leia Fantasy,56
3,2,The One Where No One's Ready,3
3,2,The One Where No One's Ready,12
3,2,The One Where No One's Ready,56
3,3,The One with the Jam,3
3,3,The One with the Jam,4
3,3,The One with the Jam,156
3,4,The One with the Metaphorical Tunnel,6
3,4,The One with the Metaphorical Tunnel,24
3,4,The One with the Metaphorical Tunnel,135
3,5,The One with Frank Jr.,2
3,5,The One with Frank Jr.,4
3,5,The One with Frank Jr.,56
3,6,The One with the Flashback,15
3,6,The One with the Flashback,23
3,6,The One with the Flashback,46
3,7,The One with the Race Car Bed,2
3,7,The One with the Race Car Bed,23
3,7,The One with the Race Car Bed,56
3,8,The One with the Giant Poking Device,4
3,8,The One with the Giant Poking Device,12
3,8,The One with the Giant Poking Device,35
3,9,The One with the Football,12
3,9,The One with the Football,36
3,10,The One Where Rachel Quits,6
3,10,The One Where Rachel Quits,24
3,10,The One Where Rachel Quits,125
3,11,The One Where Chandler Can't Remember Which Sister,12
3,11,The One Where Chandler Can't Remember Which Sister,56
3,12,The One with All the Jealousy,2
3,12,The One with All the Jealousy,3
